timestamp,protocol,source_ip,destination_ip,source_port,destination_port,isTor,isVPN,isNormal
2026-06-18 06:23:09.765394,UDP,192.168.1.1,192.168.1.9,53,49277,0.531708,0.129385,0.338907
2026-06-18 06:20:41.014587,UDP,192.168.1.1,192.168.1.9,53,49342,0.663165,0.082666,0.254169
2026-06-18 06:50:23.843576,UDP,192.168.1.1,192.168.1.9,53,49412,0.420365,0.157316,0.422318
2026-06-18 07:04:52.563440,UDP,192.168.1.1,192.168.1.9,53,49438,0.515469,0.153048,0.331482
2026-06-18 06:54:02.166918,UDP,192.168.1.1,192.168.1.9,53,49602,0.439840,0.087978,0.472182
2026-06-18 06:20:08.732375,UDP,192.168.1.1,192.168.1.9,53,49682,0.317707,0.116954,0.565339
2026-06-18 06:52:18.315750,UDP,192.168.1.1,192.168.1.9,53,49759,0.838373,0.071770,0.089857
2026-06-18 06:54:57.745310,UDP,192.168.1.1,192.168.1.9,53,49950,0.492747,0.131347,0.375905
2026-06-18 06:23:16.384012,UDP,192.168.1.1,192.168.1.9,53,50274,0.407289,0.067761,0.524950
2026-06-18 06:20:40.438991,UDP,192.168.1.1,192.168.1.9,53,50443,0.594423,0.095503,0.310074
2026-06-18 06:52:18.901766,UDP,192.168.1.1,192.168.1.9,53,50486,0.631890,0.079525,0.288585
2026-06-18 06:20:08.118125,UDP,192.168.1.1,192.168.1.9,53,50503,0.631937,0.055314,0.312749
2026-06-18 06:20:07.726670,UDP,192.168.1.1,192.168.1.9,53,50660,0.621327,0.082873,0.295800
2026-06-18 06:52:18.315752,UDP,192.168.1.1,192.168.1.9,53,50956,0.472853,0.129755,0.397391
2026-06-18 06:20:09.070368,UDP,192.168.1.1,192.168.1.9,53,51049,0.477067,0.089256,0.433677
2026-06-18 07:04:52.563208,UDP,192.168.1.1,192.168.1.9,53,51051,0.577986,0.113549,0.308465
2026-06-18 06:42:09.879454,UDP,192.168.1.1,192.168.1.9,53,51103,0.550199,0.066798,0.383003
2026-06-18 06:52:18.315737,UDP,192.168.1.1,192.168.1.9,53,51106,0.809549,0.087276,0.103176
2026-06-18 06:23:16.643263,UDP,192.168.1.1,192.168.1.9,53,51115,0.677408,0.046775,0.275817
2026-06-18 06:53:46.880060,UDP,192.168.1.1,192.168.1.9,53,51123,0.445377,0.097060,0.457562
2026-06-18 06:23:16.395700,UDP,192.168.1.1,192.168.1.9,53,51153,0.562040,0.043333,0.394627
2026-06-18 06:50:23.273721,UDP,192.168.1.1,192.168.1.9,53,51183,0.413506,0.089371,0.497123
2026-06-18 06:23:16.383866,UDP,192.168.1.1,192.168.1.9,53,51204,0.554686,0.065305,0.380009
2026-06-18 06:21:27.925998,UDP,192.168.1.1,192.168.1.9,53,51332,0.602068,0.059875,0.338058
2026-06-18 06:50:23.265095,UDP,192.168.1.1,192.168.1.9,53,51353,0.623554,0.092022,0.284424
2026-06-18 06:53:43.204034,UDP,192.168.1.1,192.168.1.9,53,51689,0.588125,0.087887,0.323988
2026-06-18 06:54:02.167141,UDP,192.168.1.1,192.168.1.9,53,51723,0.429674,0.135172,0.435154
2026-06-18 07:04:52.563211,UDP,192.168.1.1,192.168.1.9,53,51773,0.652629,0.093956,0.253414
2026-06-18 06:20:42.534683,UDP,192.168.1.1,192.168.1.9,53,51811,0.337376,0.119241,0.543382
2026-06-18 06:21:26.693868,UDP,192.168.1.1,192.168.1.9,53,51847,0.693472,0.072235,0.234294
2026-06-18 07:04:52.563205,UDP,192.168.1.1,192.168.1.9,53,51955,0.455418,0.056909,0.487674
2026-06-18 06:23:16.654064,UDP,192.168.1.1,192.168.1.9,53,52214,0.670345,0.050049,0.279605
2026-06-18 06:52:18.315742,UDP,192.168.1.1,192.168.1.9,53,52468,0.581240,0.335808,0.082953
2026-06-18 06:22:56.221967,UDP,192.168.1.1,192.168.1.9,53,52507,0.422081,0.058590,0.519328
2026-06-18 06:20:08.732036,UDP,192.168.1.1,192.168.1.9,53,52718,0.312929,0.136702,0.550369
2026-06-18 07:04:52.563203,UDP,192.168.1.1,192.168.1.9,53,52833,0.743909,0.127098,0.128993
2026-06-18 07:12:55.711525,UDP,192.168.1.1,192.168.1.9,53,53075,0.645908,0.087236,0.266856
2026-06-18 06:21:08.289216,UDP,192.168.1.1,192.168.1.9,53,53168,0.768749,0.044946,0.186305
2026-06-18 06:52:18.536736,UDP,192.168.1.1,192.168.1.9,53,53176,0.641238,0.046611,0.312151
2026-06-18 06:52:18.315749,UDP,192.168.1.1,192.168.1.9,53,53194,0.805815,0.053723,0.140461
2026-06-18 06:52:18.315746,UDP,192.168.1.1,192.168.1.9,53,53435,0.665663,0.054514,0.279823
2026-06-18 06:20:07.970084,UDP,192.168.1.1,192.168.1.9,53,53486,0.419692,0.112534,0.467774
2026-06-18 06:50:23.264394,UDP,192.168.1.1,192.168.1.9,53,53528,0.558960,0.084619,0.356420
2026-06-18 06:42:09.879184,UDP,192.168.1.1,192.168.1.9,53,53628,0.408805,0.089076,0.502119
2026-06-18 06:20:40.768761,UDP,192.168.1.1,192.168.1.9,53,53668,0.495904,0.111825,0.392271
2026-06-18 06:23:16.643067,UDP,192.168.1.1,192.168.1.9,53,53780,0.600780,0.055314,0.343906
2026-06-18 06:38:04.596333,UDP,192.168.1.1,192.168.1.9,53,53805,0.556146,0.087962,0.355892
2026-06-18 06:23:21.312143,UDP,192.168.1.1,192.168.1.9,53,53899,0.349089,0.077922,0.572989
2026-06-18 06:50:22.894887,UDP,192.168.1.1,192.168.1.9,53,53933,0.444932,0.156863,0.398205
2026-06-18 07:04:52.563200,UDP,192.168.1.1,192.168.1.9,53,53951,0.824284,0.111007,0.064709
2026-06-18 06:21:26.694261,UDP,192.168.1.1,192.168.1.9,53,54003,0.612629,0.083783,0.303589
2026-06-18 06:21:26.714569,UDP,192.168.1.1,192.168.1.9,53,54132,0.708782,0.080276,0.210942
2026-06-18 06:52:18.535273,UDP,192.168.1.1,192.168.1.9,53,54149,0.622767,0.129308,0.247926
2026-06-18 06:52:18.315745,UDP,192.168.1.1,192.168.1.9,53,54154,0.649703,0.059349,0.290947
2026-06-18 06:52:18.860561,UDP,192.168.1.1,192.168.1.9,53,54315,0.720253,0.133982,0.145765
2026-06-18 06:20:25.039944,UDP,192.168.1.1,192.168.1.9,53,54338,0.593381,0.072576,0.334043
2026-06-18 06:54:02.166496,UDP,192.168.1.1,192.168.1.9,53,54426,0.585565,0.080952,0.333483
2026-06-18 06:52:18.315743,UDP,192.168.1.1,192.168.1.9,53,54528,0.498171,0.306641,0.195188
2026-06-18 06:22:56.321302,UDP,192.168.1.1,192.168.1.9,53,54591,0.672544,0.084001,0.243455
2026-06-18 06:20:42.534896,UDP,192.168.1.1,192.168.1.9,53,54631,0.405531,0.159265,0.435204
2026-06-18 06:55:01.441223,UDP,192.168.1.1,192.168.1.9,53,54730,0.536855,0.092541,0.370605
2026-06-18 07:04:52.563189,UDP,192.168.1.1,192.168.1.9,53,54798,0.545620,0.297636,0.156744
2026-06-18 06:20:25.062958,UDP,192.168.1.1,192.168.1.9,53,54812,0.523406,0.148217,0.328376
2026-06-18 06:53:42.860987,UDP,192.168.1.1,192.168.1.9,53,54879,0.422074,0.081917,0.496009
2026-06-18 06:21:30.116728,UDP,192.168.1.1,192.168.1.9,53,54881,0.506640,0.134109,0.359251
2026-06-18 06:27:57.579817,UDP,192.168.1.1,192.168.1.9,53,54898,0.392371,0.059677,0.547952
2026-06-18 06:52:18.315750,UDP,192.168.1.1,192.168.1.9,53,55068,0.818115,0.075411,0.106474
2026-06-18 06:20:41.014809,UDP,192.168.1.1,192.168.1.9,53,55127,0.547676,0.091580,0.360744
2026-06-18 06:38:04.596160,UDP,192.168.1.1,192.168.1.9,53,55282,0.678707,0.068091,0.253202
2026-06-18 06:23:21.321522,UDP,192.168.1.1,192.168.1.9,53,55291,0.372039,0.144710,0.483251
2026-06-18 06:20:24.724483,UDP,192.168.1.1,192.168.1.9,53,55329,0.580844,0.092686,0.326470
2026-06-18 06:52:18.536032,UDP,192.168.1.1,192.168.1.9,53,55425,0.727695,0.047173,0.225132
2026-06-18 06:20:11.867512,UDP,192.168.1.1,192.168.1.9,53,55481,0.642284,0.074460,0.283257
2026-06-18 06:52:18.402470,UDP,192.168.1.1,192.168.1.9,53,55690,0.529052,0.107253,0.363695
2026-06-18 07:04:52.563209,UDP,192.168.1.1,192.168.1.9,53,55706,0.410201,0.068453,0.521347
2026-06-18 06:21:27.926320,UDP,192.168.1.1,192.168.1.9,53,55778,0.723488,0.064622,0.211890
2026-06-18 06:52:18.536626,UDP,192.168.1.1,192.168.1.9,53,55878,0.673281,0.040977,0.285742
2026-06-18 06:20:11.769019,UDP,192.168.1.1,192.168.1.9,53,56007,0.531693,0.105663,0.362645
2026-06-18 06:22:56.320789,UDP,192.168.1.1,192.168.1.9,53,56220,0.619745,0.101192,0.279063
2026-06-18 06:23:21.312430,UDP,192.168.1.1,192.168.1.9,53,56414,0.380158,0.107008,0.512835
2026-06-18 06:27:57.589876,UDP,192.168.1.1,192.168.1.9,53,56523,0.556197,0.121282,0.322521
2026-06-18 06:23:16.689661,UDP,192.168.1.1,192.168.1.9,53,56551,0.467911,0.113628,0.418461
2026-06-18 06:54:18.252936,UDP,192.168.1.1,192.168.1.9,53,56608,0.519761,0.097825,0.382414
